year,month,day,country,title,text,hazard-category,product-category,hazard,product
2016,7,19,us,Recall Expanded: Potential Metal Fragments in P.F. Chang's Home Menu Brand Sugar,"ConAgra Foods announces an expanded recall of certain P.F. Chang's Home Menu Brand meal products due to the potential presence of metal fragments in the sugar used as an ingredient.  This recall affects several product varieties distributed across the U.S.  The fragments, ranging in size from 2mm to 9mm, were discovered in a supplier's sugar supply used in sauces. While no reported injuries have occurred, as a precautionary measure, ConAgra Foods is issuing this expanded recall. The initial recall, issued on July 7, 2016, has been broadened to encompass additional production lots identified by the supplier as affected.  Consumers are advised to immediately discontinue consumption of any recalled products and return them to the point of purchase.  A full list of affected products, including UPC codes, manufacturing lot codes, and best-by dates, is available below.  For detailed information or to report any adverse reactions, consumers may contact ConAgra Foods' Consumer Affairs Hotline at 1-800-252-0634, operating Monday through Friday from 9 AM to 7 PM CDT.  This recall is ongoing, and ConAgra Foods is working closely with the FDA and USDA to address the issue. Consumers should check the company website (www.conagrafoods.com) for updates. 

**Affected Products:**

| Item Description                                  | UPC | MFG/Lot Code                               | Best By Date           |
|---------------------------------------------------|-------|----------------------------------------------|------------------------|
| P.F. Chang's Home Menu Signature Spicy Chicken 22oz | 31000-67023 | 5006616500, 5006615200                         | June 8, 2017, May 26, 2017     |
| P.F. Chang's Home Menu Mongolian Style Beef 22oz | 31000-67000 | 5006617400, 5006615800                         | June 17, 2017, June 1, 2017    |
| P.F. Chang's Home Menu Beef with Broccoli 22 oz | 31000-67001 | 5006616100                                    | June 4, 2017              |
| ... (and so on, listing all affected products as per the original table) ...
",foreign bodies,sugars and syrups,metal fragment,sugar
2019,4,30,us,Retail Grocery Chain Recalls Specific Pasta Sauce Products Due to Possible Glass Fragments,"A voluntary recall is being initiated for a limited number of pasta sauce products from a major grocery chain due to the potential presence of small glass fragments in the sauce ingredients.  This recall affects various pasta sauces sold in select grocery stores nationwide.  Customers who purchased the affected products are strongly advised not to consume them and should return the product to their original point of purchase.  No reported injuries have been linked to consumption of the recalled products. The recall was prompted by a quality control inspection that discovered glass fragments within a component of the pasta sauce. The manufacturer is working collaboratively with regulatory agencies and retailers to ensure all affected products are removed from shelves.  Further details concerning affected product lines, and specific product identifiers, are listed on the manufacturer's website. Consumers with questions or concerns can contact the company's consumer service line during regular business hours for assistance. Additional details about the affected products and a list of affected product numbers and descriptions are available on the company's website.",foreign bodies,sugars and syrups,metal fragment,sugar
2014,11,6,ca,Plastic Fragments Found in Beehive Syrup: Urgent Recall Issued,"A recent recall has been initiated for Beehive brand corn syrup due to a significant health risk.  The affected product batch, a 55-gallon container of syrup, contains potentially hazardous plastic fragments. This recall is crucial to prevent consumer harm. ACH Food Companies, Inc. is taking immediate action to remove the contaminated syrup from distribution, effective immediately. This recall affects British Columbia warehouses and includes a specific UPC code, 000-76172-019121.  Consumers who have purchased this product should immediately discontinue use and contact ACH Food Companies, Inc. for a full refund or exchange.  Further details, including affected locations, are available on the company website.  The CFIA is assisting in the recall effort.",foreign bodies,sugars and syrups,plastic fragment,syrup
2020,2,24,ie,Coconut Sugar Recall Due to Undeclared Gluten,"Urgent Notice: Consumers are advised to immediately discontinue use of certain batches of Intenson Bio Organic Coconut Sugar.  Testing has revealed the presence of undeclared gluten-containing cereals.  This poses a significant risk to individuals with gluten allergies or sensitivities.  Affected batches are identified in a separate document.  For further information or to report any adverse reactions, contact Intenson Bio customer service at [phone number] or visit [website address].  This recall affects batches manufactured between [Start Date] and [End Date].  Do not consume products from these batches.",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2016,7,19,us,Recall of P.F. Chang's Home Menu Meals Due to Potential Metal Fragments in Sugar,"A voluntary recall has been initiated for select P.F. Chang's Home Menu brand meals due to the potential presence of metal fragments in the sugar used for certain sauces.  The fragments, ranging in size from 2mm to 9mm, were discovered in a supplier's sugar batch.  The recall affects various dishes, including Signature Spicy Chicken, Mongolian Style Beef, Beef with Broccoli, Shrimp Lo Mein, Sweet & Sour Chicken, General Chang's Chicken, Garlic Chicken with Dan Dan noodles, and Grilled Chicken Teriyaki with Lo Mein Noodles.  Specific product details, including UPC codes and manufacturing/lot codes, are listed below.  These products were distributed across the U.S.  Consumers are advised not to consume recalled items and to return them to the point of purchase.  No injuries have been reported, and ConAgra Foods is cooperating with regulatory agencies and working to remove affected products from store shelves.  Consumers with questions may contact our Consumer Affairs hotline at 1-800-252-0634, Monday through Friday, 9am to 7pm CDT. 

**Affected Products:**

| Item Description | UPC | MFG/Lot Code | Best By Date |
|---|---|---|---| 
| P.F. Chang's Home Menu Brand Signature Spicy Chicken 22oz | 31000-67023 | 5006616500, 5006615200 | June 8, 2017, May 26, 2017 | 
| P.F. Chang's Home Menu Brand Mongolian Style Beef 22oz | 31000-67000 | 5006617400, 5006615800 | June 17, 2017, June 1, 2017 | 
| P.F. Chang's Home Menu Brand Beef with Broccoli 22 oz | 31000-67001 | 5006616100 | June 4, 2017 | 
| P.F. Chang's Home Menu Brand Shrimp Lo Mein 22 oz | 31000-67005 | 5006616700 | June 10, 2017 | 
| P.F. Chang's Home Menu Brand Sweet & Sour Chicken 22 oz | 31000-67006 | 5006616000 | June 3, 2017 | 
| P.F. Chang's Home Menu Brand General Chang's Chicken 22 oz | 31000-67007 | 5006616000 | June 3, 2017 | 
| P.F. Chang's Home Menu Brand Garlic Chicken with Dan Dan noodles 22 oz | 31000-67008 | 5006616500 | June 8, 2017 | 
| P.F. Chang's Home Menu Brand Grilled Chicken Teriyaki with Lo Mein Noodles 22 oz | 31000-67010 | 5006616700 | June 10, 2017 |",foreign bodies,sugars and syrups,metal fragment,sugar
2016,7,19,us,Recall Expanded for P.F. Chang's Home Menu Meals Due to Potential Metal Fragments in Sugar,"A voluntary recall has been expanded for select P.F. Chang's Home Menu brand meals, distributed in grocery stores nationwide.  The recall covers various meal options, including Signature Spicy Chicken, Mongolian Style Beef, and Beef with Broccoli, among others.  The potential presence of small metal fragments (2-9mm) in the sugar used for some of the meal's sauces is the reason for the expanded recall. This follows a prior recall issued on July 7, 2016, and prompted by an observation of metal fragments in the sugar supply.  Further investigation revealed affected sugar lots from the original supplier.  No illnesses have been reported to date.  Consumers are urged not to consume any recalled meals and to return them to the store of purchase.  A complete list of recalled items, including UPC codes, lot codes, and best-by dates, is provided below.  Consumers with questions can contact ConAgra Foods' Consumer Affairs hotline at 1-800-252-0634 (open 9 am to 7 pm CDT, Monday to Friday).  The recall is in cooperation with the FDA and USDA.

**Recalled Products**

(A table with the same information as provided in your original report would be included here but isn't practical to format as JSON.)",foreign bodies,sugars and syrups,metal fragment,sugar
2020,2,24,ie,Coconut Sugar Recall Due to Undeclared Gluten,"Urgent Recall Notice: Intenson Bio Cukier Kokosowy (Organic Coconut Sugar) has been identified as potentially containing undeclared gluten.  Consumers with gluten allergies or intolerances should immediately discontinue use of affected batches.  A full list of potentially affected products and batch numbers is available on the Intenson website and at [link to website or other resource].  This recall is being issued out of an abundance of caution to protect consumer health.  For any questions or concerns, please contact Intenson customer service at [phone number] or [email address].  This recall affects batches manufactured between [Start Date] and [End Date].",allergens,sugars and syrups,cereals containing gluten and products thereof,coconut sugar
2022,5,27,ca,Urgent Recall: Plastic Fragments Found in Rogers Sugar - Health Alert,"Rogers brand Golden Yellow Sugar is being recalled due to a serious health hazard.  The recalled product, distributed in Alberta and British Columbia, may contain small plastic fragments.  Consumers are urged to immediately discontinue use, sale, or distribution of any Rogers Golden Yellow Sugar, specifically the 2 kg size, with UPC code 0 63111 12144 6.  The affected batch numbers and expiry dates are listed on the attached document.  This recall was issued by the Canadian Food Inspection Agency (CFIA) due to the potential for harm caused by foreign objects.  Consumers experiencing any adverse health reactions should contact their healthcare provider.  Further details and contact information regarding the recall can be found on the CFIA website.  Failure to comply may result in serious injury or illness.",foreign bodies,sugars and syrups,plastic fragment,sugar
2014,11,6,ca,ACH Food Companies Syrup Recall: Plastic Contamination Concerns,"A recent recall has been initiated by ACH Food Companies, Inc. due to potential contamination of Beehive brand corn syrup.  The recall, issued November 6, 2014, targets a 55-gallon batch distributed within British Columbia.  The affected product, identified by UPC 000-76172-019121,  may contain potentially harmful plastic fragments.  This is a Class 3 recall, and consumers are advised to return any affected product to the place of purchase.  Further details regarding the extent and nature of the contamination are under investigation.  The Canadian Food Inspection Agency (CFIA) is providing updates and support to consumers and businesses affected by the recall.  Contact information can be found on the CFIA website.  This is not an indication of future product safety.   The recall involves Beehive Corn Syrup, 55-gallon containers.",foreign bodies,sugars and syrups,plastic fragment,syrup
2019,4,30,us,Grocery Store Recall: Potential Metal Fragments in Sugar Used in Prepared Meals,"A recall has been initiated for various prepared meal products due to a potential contamination hazard.  The affected products, distributed through grocery retailers, contain sugar sourced from a supplier that may have small metal fragments (2-9mm) present.  ConAgra Foods, the manufacturer of the P.F. Chang’s Home Menu Brand meals, is taking this preventative measure to ensure the safety of consumers.  The recall expands on a previous notification issued on July 7, 2016, after an internal review found metal fragments in a specific sugar ingredient.  The supplier subsequently alerted ConAgra Foods to additional lots of contaminated sugar, necessitating the broader recall.  The affected meals have been sold in the U.S. and are identified in the attached list.  There have been no reported injuries to date, and the recall is meant to prevent potential health issues.   Consumers are encouraged to return any affected product to the place of purchase and not consume them.  Contact information for ConAgra Foods’ consumer affairs hotline is included in the recall notice. This action does not affect other ConAgra Foods products, nor does it apply to meals prepared at P.F. Chang’s restaurants.  The company is cooperating fully with regulatory agencies (FDA and USDA) throughout the recall process.",foreign bodies,sugars and syrups,metal fragment,sugar
2014,11,6,ca,Plastic Fragments Found in ACH Food Companies' Syrup,"A recall has been initiated for Beehive brand corn syrup due to a significant health concern: the presence of potentially harmful plastic fragments.  This recall affects 55-gallon containers distributed throughout British Columbia.  The affected product, manufactured by ACH Food Companies, Inc., bears a specific UPC code (000-76172-019121) and is identified by the code 220D4.  Consumers are urged to check their pantries for this product and if found, to discard it immediately.  Further details, including disposal instructions, can be obtained through the CFIA website or by contacting their dedicated recall line.  This incident exemplifies the importance of rigorous quality control measures in food production, as evidenced by the potential health risks associated with foreign objects. Consumers who have experienced adverse reactions should seek medical attention immediately.  The recall is effective immediately.",foreign bodies,sugars and syrups,plastic fragment,syrup
2022,5,27,ca,Plastic Fragments Found in Rogers Sugar; Recall Issued,"Rogers brand Golden Yellow Sugar is being recalled due to a serious safety concern: the presence of plastic fragments.  Consumers are urged to immediately stop using, selling, or distributing any affected product. This recall affects 2 kg bags of the product with the UPC code 0 63111 12144 6.  The recall was issued by the Canadian Food Inspection Agency (CFIA) and involves sugar distributed in Alberta and British Columbia.  The affected product was produced by Lantic Inc.  Consumers can obtain further details and support at 1-800-442-2342.  Consumers experiencing adverse effects related to consumption of this product are urged to contact a medical professional immediately.",foreign bodies,sugars and syrups,plastic fragment,sugar
2022,5,27,ca,Plastic Fragments Found in Rogers Sugar; Recall Issued,"Rogers Golden Yellow Sugar, a popular brand, is being recalled due to a potential health hazard.  The recall, issued by the Canadian Food Inspection Agency (CFIA), affects 2kg packages of sugar distributed in Alberta and British Columbia.  Consumers are urged to immediately discontinue use of the affected product and contact the CFIA for further information. The recall is classified as a Class 2 incident, meaning the product may pose a health risk.  The recalled Rogers Golden Yellow Sugar contains potential plastic fragments. This could pose a choking hazard.  The CFIA's recall number is RA-64198.  The UPC code is 0 63111 12144 6, and the product ID is 1022031.  Consumers can contact the CFIA at 1-800-442-2342 or 1-613-773-2342, or via email at information@inspection.gc.ca. Media inquiries can be directed to cfia.media.acia@inspection.gc.ca and 613-773-6600.",foreign bodies,sugars and syrups,plastic fragment,sugar
2016,7,19,us,Recall Expanded for P.F. Chang's Home Menu Meals Due to Potential Metal Fragments,"ConAgra Foods is issuing a further recall for select P.F. Chang's Home Menu meals due to the possible presence of metal fragments within the sugar used in their sauces.  The recall, expanded from an initial notice, affects multiple product varieties and was triggered by the discovery of metal fragments in sugar sourced from a supplier. While no reported illnesses have resulted, consumers are advised to avoid consumption of the affected products and return them to the point of purchase. The expanded recall encompasses various items, and includes detailed product information.  The affected items were distributed in the US and specific product names, UPC codes, lot codes, and best-by dates are provided below for consumers to reference. Affected items are not found in P.F. Chang's restaurants, where all meals are freshly prepared.   Contact details for consumer inquiries are available.  The recall spans several meal varieties, including but not limited to chicken, beef, and shrimp dishes.  The affected sugar supplier is being cooperated with by ConAgra Foods and the FDA.  This recall covers items distributed to grocery retailers across the US. Consumers should contact our Consumer Affairs hotline to confirm affected items in their possession.  Contact information and hours are included in the table below. 

**Affected Products:**

| Item Description | UPC | MFG/Lot Code | Best By Date |
|---|---|---|---| 
|P.F. Chang’s Home Menu Brand Signature Spicy Chicken 22oz|31000-67023|5006616500, 5006615200|June 8, 2017, May 26, 2017|
|... (remaining product table data) ...|

**Contact:** 1-800-252-0634 (9am-7pm CDT, Monday-Friday)",foreign bodies,sugars and syrups,metal fragment,sugar
2021,6,8,us,Colorado Avian Feed Recall Due to Potential Contamination,"A voluntary recall has been initiated for a specific batch of organic chick starter/grower feed distributed in Colorado.  Preliminary analysis suggests the presence of an unapproved additive, potentially impacting chick health and growth. Affected products are identified by batch code B01785781.  Symptoms observed may include slowed growth, neurological issues, and potential cardiac complications.  Customers possessing this batch should immediately cease feeding it to their chicks and contact the manufacturer for return and replacement instructions.  All other Hubbard Feeds products are not affected by this recall.  The manufacturer is cooperating fully with the FDA throughout the resolution process and will assist with the identification and removal of the contaminated product.  Contact Hubbard Feeds Customer Service for further guidance: 1-800-333-7929 (Mountain Time, M-F 7am-6pm).",fraud,feed materials,compositional deviation,feed materials
2021,6,8,us,Colorado Feed Recall Due to Potential Contamination,"A voluntary recall has been initiated for a specific batch of organic chick starter/grower feed distributed in Colorado by Hubbard Feeds.  The affected product, batch number B01785781, is suspected to contain an undisclosed contaminant that could potentially affect neurological function in young chicks.  Initial reports suggest possible muscular weakness and irregular heartbeat, impacting the overall health and growth of the birds. This recall applies exclusively to the specified batch and location; no other Hubbard Feeds products or batches are implicated.  Affected customers should immediately remove any remaining inventory of this batch from distribution and discontinue its use.  For more information or to obtain specific instructions regarding this recall, please contact Hubbard Feeds customer service at 1-800-333-7929 during business hours.  The company is cooperating fully with relevant regulatory agencies throughout this process.",fraud,feed materials,compositional deviation,feed materials
2021,6,29,us,Urgent Recall of Poultry Treats Due to Potential Salmonella Contamination,"A voluntary recall has been initiated for a specific lot of poultry treats, known as Flock Party Quack Snacks, due to a potential Salmonella contamination risk.  The affected product, packaged in magenta and light blue 1.68-pound plastic bags, has a ""Best By"" date of December 2023, printed on the bottom of the packaging.  Distribution of this lot, initially launched on February 2nd, 2021, is immediately suspended.  Consumers are urged to discontinue feeding the product immediately and dispose of any affected bags.  A full refund is available to those who have purchased the recalled lot by contacting Manna Pro at (800) 690-9908 ext. 2, Monday through Friday, 8:00 AM to 4:00 PM Central Time.  Salmonella symptoms, which can range from mild to severe, include nausea, vomiting, diarrhea, and fever.  Consumers experiencing these symptoms after handling the recalled product should seek immediate medical attention. The affected product line is manufactured by Manna Pro Products LLC, based in St. Louis, MO.  Further inquiries can be directed to Noah Messel at (314) 656-8302 or Noah.Messel@omalleyhansen.com.",biological,feed materials,salmonella,feed materials
2021,6,29,us,Recall of Poultry Treats Due to Potential Salmonella Contamination,"A voluntary recall is being issued for a specific lot of Flock Party Quack Snacks, poultry treats, due to potential Salmonella contamination.  The recalled products, packaged in 1.68-pound magenta and light blue plastic bags, bear a 'Best By' date of December 2023.  This recall affects only bags with this specific date code.  Distribution of the product has been halted while the source of the contamination is investigated.  Consumers who have purchased these treats are urged to immediately stop feeding them to their animals and discard the affected bags.  A full refund is available by contacting Manna Pro Products, LLC at (800) 690-9908 ext. 2, Monday through Friday, 8:00 AM to 4:00 PM Central Time.  Initial reports of contamination originated from a routine surveillance sample in West Virginia.  Symptoms of Salmonella exposure in animals may include (but are not limited to) digestive distress, fever, and lethargy.  Affected customers should consult their veterinarian for guidance on animal care.  Questions for media inquiries should be directed to Noah Messel at O'Malley Hansen, (314) 656-8302 or Noah.Messel@omalleyhansen.com.",biological,feed materials,salmonella,feed materials
